time, temperature, humidity, pressure
2018/09/29 09:00:01,23.1379900741,76.1753611617,1010.8918212
2018/09/29 10:05:02,23.1429827639,76.7447439535,1010.90072217
2018/09/29 12:00:02,23.0131729251,76.6614306656,1009.85946629
2018/09/29 15:00:01,23.5024571904,76.7635176761,1009.16254393
2018/09/29 15:05:02,23.4575228046,77.1002400682,1008.97801911
2018/09/29 18:00:01,23.5024571904,74.2897035403,1008.92725045
2018/09/30 06:00:01,20.6316965665,84.9045332053,1001.17266052
2018/09/30 08:33:44,21.8399006153,78.7429526127,1000.34048921
2018/09/30 08:39:06,21.7001075394,79.7083347149,1000.19772762
2018/09/30 09:00:01,21.9747012975,78.9494709991,1000.42226413
2018/09/30 10:05:02,23.0181656076,77.5483548423,999.080603801
